_time,itsi_kpi_id,avg(alert_value)
2024-01-01T00:00:00.000-0500,59453c160937c703a650933c,217.1299491528875
2024-01-01T01:00:00.000-0500,59453c160937c703a650933c,183.4617850454536
2024-01-01T02:00:00.000-0500,59453c160937c703a650933c,167.06322293251222
2024-01-01T03:00:00.000-0500,59453c160937c703a650933c,163.9944475685689
2024-01-01T04:00:00.000-0500,59453c160937c703a650933c,143.38662352575676
2024-01-01T05:00:00.000-0500,59453c160937c703a650933c,148.77259888892678
2024-01-01T06:00:00.000-0500,59453c160937c703a650933c,735.4439247801445
2024-01-01T07:00:00.000-0500,59453c160937c703a650933c,387.06869476252285
2024-01-01T08:00:00.000-0500,59453c160937c703a650933c,372.2644497268617
2024-01-01T09:00:00.000-0500,59453c160937c703a650933c,471.17638049616835
2024-01-01T10:00:00.000-0500,59453c160937c703a650933c,401.80517017963376
2024-01-01T11:00:00.000-0500,59453c160937c703a650933c,367.9820825654949
2024-01-01T12:00:00.000-0500,59453c160937c703a650933c,388.7827019486446
2024-01-01T13:00:00.000-0500,59453c160937c703a650933c,259.5978640751071
2024-01-01T14:00:00.000-0500,59453c160937c703a650933c,413.8383859249914
2024-01-01T15:00:00.000-0500,59453c160937c703a650933c,376.1543080651126
2024-01-01T16:00:00.000-0500,59453c160937c703a650933c,348.81760249210345
2024-01-01T17:00:00.000-0500,59453c160937c703a650933c,328.9326672888994
2024-01-01T18:00:00.000-0500,59453c160937c703a650933c,305.2579802293931
2024-01-01T19:00:00.000-0500,59453c160937c703a650933c,301.5092157286535
2024-01-01T20:00:00.000-0500,59453c160937c703a650933c,314.31567120059583
2024-01-01T21:00:00.000-0500,59453c160937c703a650933c,289.477770728103
2024-01-01T22:00:00.000-0500,59453c160937c703a650933c,282.8469489349115
2024-01-01T23:00:00.000-0500,59453c160937c703a650933c,250.01815906091647
2024-01-02T00:00:00.000-0500,59453c160937c703a650933c,198.8051078447472
2024-01-02T01:00:00.000-0500,59453c160937c703a650933c,204.63056823486875
2024-01-02T02:00:00.000-0500,59453c160937c703a650933c,194.4225553522299
2024-01-02T03:00:00.000-0500,59453c160937c703a650933c,181.53166899106654
2024-01-02T04:00:00.000-0500,59453c160937c703a650933c,156.17783389891972
2024-01-02T05:00:00.000-0500,59453c160937c703a650933c,168.23402857461673
2024-01-02T06:00:00.000-0500,59453c160937c703a650933c,752.1355231156955
2024-01-02T07:00:00.000-0500,59453c160937c703a650933c,417.3758719317091
2024-01-02T08:00:00.000-0500,59453c160937c703a650933c,373.6504848523942
2024-01-02T09:00:00.000-0500,59453c160937c703a650933c,472.2463616805583
2024-01-02T10:00:00.000-0500,59453c160937c703a650933c,389.1004397545446
2024-01-02T11:00:00.000-0500,59453c160937c703a650933c,354.72613045488936
2024-01-02T12:00:00.000-0500,59453c160937c703a650933c,374.05602746135077
2024-01-02T13:00:00.000-0500,59453c160937c703a650933c,242.9425218781267
2024-01-02T14:00:00.000-0500,59453c160937c703a650933c,412.7041582040297
2024-01-02T15:00:00.000-0500,59453c160937c703a650933c,370.1991353269058
2024-01-02T16:00:00.000-0500,59453c160937c703a650933c,345.66480434064033
2024-01-02T17:00:00.000-0500,59453c160937c703a650933c,317.25764223496094
2024-01-02T18:00:00.000-0500,59453c160937c703a650933c,306.04744378146233
2024-01-02T19:00:00.000-0500,59453c160937c703a650933c,325.57369507704936
2024-01-02T20:00:00.000-0500,59453c160937c703a650933c,281.376293565443
